Test1: Tree creation (10.1.1.100,224.12.12.12)
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,294                                              R2 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,428                                              R4 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,521                                              R3 python3 Run.py -aiigmp eth1
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,549                                              R6 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
tests                                              DEBUG    2020-06-16 21:40:16,599                                              R5 python3 Run.py -ai eth1
